                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7251,                 3.5845,                 1.2588,                0.27182,                0.53285,                0.36922,                0.30234,                0.74536,                 3.1231,                 0.8506,              6.875e-05,              6.875e-05,              6.875e-05
                      2,                 1.5532,                 1.4655,                 1.1211,                0.50162,                0.70807,                0.60816,                0.50897,                0.70576,                 3.3718,                0.83549,             0.00014233,             0.00014233,             0.00014233
                      3,                 1.5579,                 1.1965,                 1.1503,                0.50383,                0.68657,                0.58028,                0.49423,                0.69946,                 5.9914,                  0.832,             0.00021442,             0.00021442,             0.00021442
                      4,                  1.458,                 1.0785,                 1.1128,                0.68232,                0.86879,                0.78347,                0.67877,                0.62801,                 1.4123,                 0.8186,             0.00028503,             0.00028503,             0.00028503
                      5,                 1.3795,                 0.9283,                 1.0776,                0.86621,                0.92114,                0.97551,                0.83496,                0.68476,                 1.0929,                0.82613,             0.00035415,             0.00035415,             0.00035415
                      6,                 1.4228,                 0.9729,                  1.089,                0.89735,                0.94185,                0.97324,                0.81705,                0.73987,                0.78765,                0.84074,             0.00042178,             0.00042178,             0.00042178
                      7,                 1.3557,                0.81452,                 1.0768,                0.98544,                0.98512,                0.99499,                0.84468,                0.68841,                0.51442,                0.83032,             0.00048794,             0.00048794,             0.00048794
                      8,                 1.3783,                0.79894,                 1.0677,                0.97981,                0.97363,                0.97707,                0.84579,                0.62244,                0.50027,                0.81963,              0.0005526,              0.0005526,              0.0005526
                      9,                 1.3291,                0.76246,                 1.0531,                0.97504,                0.98421,                0.98946,                0.84342,                0.68097,                0.48018,                0.83211,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.3847,                0.72462,                 1.0813,                0.93325,                0.97621,                0.99314,                0.84531,                0.67516,                0.46027,                0.83201,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.3296,                0.69729,                 1.0577,                0.90026,                0.97984,                0.94502,                0.81151,                 0.6389,                0.44612,                0.82805,             0.00056313,             0.00056313,             0.00056313
                     12,                 1.3658,                0.70418,                 1.0737,                0.96554,                0.98603,                0.99128,                0.85317,                0.63685,                0.42758,                0.82028,             0.00055694,             0.00055694,             0.00055694
                     13,                 1.3212,                0.67421,                 1.0389,                0.96296,                 0.9803,                0.99194,                0.84826,                 0.6571,                0.42162,                 0.8223,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.2588,                0.66421,                 1.0321,                 0.9675,                0.98992,                0.99461,                0.85117,                0.66882,                0.41276,                0.82289,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.2442,                0.66804,                 1.0285,                0.99481,                 0.9941,                  0.995,                0.87486,                0.58615,                0.35159,                0.81703,             0.00053838,             0.00053838,             0.00053838
                     16,                 1.2702,                0.66396,                 1.0427,                0.98336,                0.99195,                  0.995,                0.86859,                0.61365,                0.36246,                0.82102,             0.00053219,             0.00053219,             0.00053219
                     17,                 1.2533,                0.65957,                 1.0393,                0.98967,                0.99323,                  0.995,                0.87487,                0.61169,                0.37668,                   0.82,               0.000526,               0.000526,               0.000526
                     18,                  1.264,                0.64565,                 1.0374,                0.99043,                0.99579,                  0.995,                0.87227,                0.58209,                0.34253,                0.81302,             0.00051981,             0.00051981,             0.00051981
                     19,                 1.2065,                 0.6307,                 1.0243,                0.99612,                      1,                  0.995,                0.87715,                0.58011,                0.32899,                0.81336,             0.00051363,             0.00051363,             0.00051363
                     20,                 1.2742,                0.65038,                 1.0345,                0.98863,                0.99381,                  0.995,                0.87516,                0.58536,                0.32549,                 0.8159,             0.00050744,             0.00050744,             0.00050744
                     21,                 1.2596,                0.63078,                  1.038,                0.98938,                 0.9902,                  0.995,                0.87707,                0.57452,                0.32791,                0.81037,             0.00050125,             0.00050125,             0.00050125
                     22,                 1.2287,                0.61011,                 1.0121,                0.99577,                0.98886,                  0.995,                0.87914,                0.57218,                0.32018,                0.81231,             0.00049506,             0.00049506,             0.00049506
                     23,                 1.1981,                0.62076,                  1.018,                0.99633,                0.99499,                  0.995,                 0.8849,                 0.5623,                0.31651,                  0.813,             0.00048888,             0.00048888,             0.00048888
                     24,                 1.1995,                0.59977,                 1.0205,                0.99263,                0.99841,                  0.995,                0.88057,                0.56876,                0.31835,                0.81106,             0.00048269,             0.00048269,             0.00048269
                     25,                 1.2281,                0.61136,                 1.0156,                0.99086,                0.99495,                0.99489,                0.88593,                0.54879,                0.31801,                0.80855,              0.0004765,              0.0004765,              0.0004765
