                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4852,                 3.6173,                 2.7531,                0.34518,                0.25517,                0.15011,                0.09079,                 1.9287,                 8.9532,                 2.3774,              6.468e-05,              6.468e-05,              6.468e-05
                      2,                 1.6898,                 2.5373,                 2.0197,                0.39595,                0.58756,                0.41189,                0.19163,                 1.3217,                 6.4698,                 1.7876,              0.0001339,              0.0001339,              0.0001339
                      3,                 1.5469,                 2.3803,                 1.8571,                0.28305,                0.44014,                0.35341,                0.15853,                 1.4299,                 7.1125,                 1.9763,             0.00020173,             0.00020173,             0.00020173
                      4,                 1.4587,                 2.3672,                 1.7945,                0.09424,                0.30677,                0.14484,                0.08325,                 1.6698,                 14.463,                 2.3485,             0.00026815,             0.00026815,             0.00026815
                      5,                 1.4027,                 2.3413,                 1.7514,                0.09795,                  0.498,                 0.2002,                0.09175,                 1.9649,                 11.459,                  2.494,             0.00033318,             0.00033318,             0.00033318
                      6,                 1.3728,                 2.2489,                 1.6954,                0.15759,                0.45451,                 0.2536,                0.11463,                 1.7039,                 6.7284,                 2.2915,             0.00039681,             0.00039681,             0.00039681
                      7,                 1.3216,                 2.2249,                 1.6691,                0.21391,                0.59716,                0.32502,                0.13463,                 1.3782,                 6.9145,                 1.8772,             0.00045905,             0.00045905,             0.00045905
                      8,                 1.2708,                 2.0821,                 1.6178,                0.46552,                0.50179,                0.44553,                0.20074,                 1.1607,                 10.874,                 1.8414,             0.00051989,             0.00051989,             0.00051989
                      9,                 1.2482,                 2.1198,                 1.6168,                0.40081,                0.52471,                0.49267,                0.23823,                  1.128,                 4.4528,                 1.6894,             0.00054143,             0.00054143,             0.00054143
                     10,                 1.2259,                 2.0395,                 1.5853,                 0.3909,                 0.7192,                 0.5968,                0.31228,                 1.0502,                 2.4169,                 1.6479,             0.00053561,             0.00053561,             0.00053561
                     11,                 1.1889,                 1.9638,                  1.568,                0.34289,                0.62737,                0.43157,                0.20158,                 1.1317,                   2.29,                 1.6744,             0.00052979,             0.00052979,             0.00052979
                     12,                 1.1978,                 1.9532,                 1.5672,                0.36781,                 0.6569,                0.49308,                0.27729,                0.98982,                 2.3299,                 1.6543,             0.00052397,             0.00052397,             0.00052397
                     13,                 1.2055,                 1.9188,                 1.5829,                 0.3924,                0.64074,                  0.528,                0.28992,                 1.0408,                  2.711,                 1.6069,             0.00051815,             0.00051815,             0.00051815
