                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6268,                  3.016,                 1.1303,                0.47318,                  0.645,                0.57166,                0.46945,                0.72954,                  4.554,                0.88408,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.4953,                  1.417,                 1.1128,                0.69234,                0.81033,                0.82594,                0.69555,                0.68699,                 1.6483,                 0.8554,             0.00022896,             0.00022896,             0.00022896
                      3,                 1.3994,                 1.0999,                 1.0588,                0.36142,                0.85464,                0.40595,                0.32973,                 0.7517,                    nan,                0.86213,             0.00034307,             0.00034307,             0.00034307
                      4,                 1.4246,                0.98802,                 1.0473,                0.73627,                0.91495,                0.82417,                0.67991,                0.70918,                 3.6786,                0.84741,             0.00045483,             0.00045483,             0.00045483
                      5,                 1.4394,                0.94966,                 1.0639,                0.85416,                0.89785,                0.96228,                0.76562,                0.85122,                0.70975,                0.88485,             0.00056423,             0.00056423,             0.00056423
                      6,                 1.4479,                0.92513,                 1.0619,                0.85155,                0.86102,                0.91698,                0.74613,                0.78759,                0.78508,                0.87451,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.4131,                0.86309,                 1.0535,                0.93801,                0.85392,                0.96667,                0.77085,                0.85036,                0.61904,                0.88532,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.3105,                0.73741,                 1.0154,                0.94334,                0.95706,                0.98943,                0.79274,                0.81688,                 0.5014,                0.87814,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.3977,                0.77441,                 1.0647,                0.90535,                0.80589,                0.90174,                 0.6392,                 1.1045,                0.72057,                0.98193,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.3516,                0.75529,                 1.0362,                  0.982,                0.98883,                0.99391,                0.76996,                0.91109,                0.48288,                0.87671,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.3714,                0.72797,                 1.0575,                0.92706,                0.95629,                 0.9889,                0.82801,                0.66302,                0.46717,                0.83986,             0.00056313,             0.00056313,             0.00056313
                     12,                  1.296,                0.70389,                 1.0191,                0.98735,                0.99455,                0.99335,                0.84859,                0.65378,                0.38637,                0.83732,             0.00055694,             0.00055694,             0.00055694
                     13,                 1.2186,                0.66227,                0.99698,                0.97353,                0.98191,                0.99272,                0.82996,                 0.7103,                0.38927,                0.84819,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.3028,                0.70989,                 1.0283,                0.85509,                0.84822,                0.93418,                0.76112,                0.76961,                  0.687,                0.88212,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.2992,                0.69766,                 1.0185,                0.89215,                0.92918,                0.97495,                0.82549,                0.67281,                0.50706,                0.84743,             0.00053838,             0.00053838,             0.00053838
                     16,                  1.228,                0.66077,                0.99405,                0.96274,                0.97516,                0.98793,                0.82451,                0.75421,                0.41951,                0.84946,             0.00053219,             0.00053219,             0.00053219
                     17,                 1.2197,                0.65151,                0.97655,                 0.9781,                0.98891,                0.99311,                0.78943,                0.85113,                0.41878,                0.89048,               0.000526,               0.000526,               0.000526
                     18,                 1.2748,                 0.6585,                0.99894,                0.98893,                0.99393,                0.99447,                0.83009,                0.71755,                0.38245,                0.84849,             0.00051981,             0.00051981,             0.00051981
                     19,                  1.222,                0.62677,                0.99479,                0.97948,                0.98013,                0.99194,                0.84378,                 0.6806,                0.38602,                0.84795,             0.00051363,             0.00051363,             0.00051363
                     20,                 1.1824,                0.60475,                0.99282,                0.99358,                0.99305,                 0.9949,                0.84718,                0.65376,                0.33625,                0.84427,             0.00050744,             0.00050744,             0.00050744
                     21,                 1.2166,                0.65151,                0.98593,                0.92379,                0.93796,                0.98006,                0.82032,                0.68609,                0.49854,                0.84959,             0.00050125,             0.00050125,             0.00050125
                     22,                  1.155,                0.60694,                0.95915,                0.94883,                0.94426,                0.98531,                0.85334,                0.61412,                 0.4247,                0.82875,             0.00049506,             0.00049506,             0.00049506
                     23,                 1.2175,                0.62852,                0.97325,                 0.9546,                0.95133,                0.98365,                 0.8553,                0.61391,                0.41589,                0.82982,             0.00048888,             0.00048888,             0.00048888
                     24,                 1.2484,                 0.6544,                 0.9787,                0.97439,                0.98004,                0.99307,                0.85781,                0.60662,                0.35635,                0.82964,             0.00048269,             0.00048269,             0.00048269
                     25,                 1.2169,                0.62028,                0.98896,                0.96887,                0.97777,                0.98264,                0.83733,                0.65164,                 0.3878,                0.83924,              0.0004765,              0.0004765,              0.0004765
                     26,                 1.1881,                0.62381,                0.98865,                0.99081,                0.99029,                0.99429,                0.86861,                0.59893,                0.33104,                0.83188,             0.00047031,             0.00047031,             0.00047031
                     27,                 1.1873,                0.62467,                0.96874,                0.99378,                0.99154,                 0.9947,                0.86648,                0.59332,                0.32005,                0.82612,             0.00046413,             0.00046413,             0.00046413
                     28,                 1.1474,                0.59211,                0.98555,                 0.9921,                0.99033,                0.99486,                 0.8584,                0.61853,                0.33704,                0.82792,             0.00045794,             0.00045794,             0.00045794
                     29,                 1.1643,                0.58566,                0.96991,                 0.9957,                0.99879,                  0.995,                 0.8638,                0.58826,                0.31648,                0.82491,             0.00045175,             0.00045175,             0.00045175
                     30,                 1.1362,                0.55337,                0.95599,                0.99665,                0.99685,                0.99497,                 0.8487,                0.62099,                0.32575,                0.83367,             0.00044556,             0.00044556,             0.00044556
                     31,                  1.134,                0.54273,                0.95595,                0.99643,                0.99612,                0.99497,                0.85257,                0.62781,                0.31997,                0.83207,             0.00043937,             0.00043937,             0.00043937
                     32,                 1.1546,                0.57386,                0.97949,                0.96208,                 0.9582,                0.99234,                0.85452,                 0.6126,                0.37917,                0.82778,             0.00043319,             0.00043319,             0.00043319
                     33,                 1.1571,                0.56333,                0.96072,                0.98673,                0.99377,                  0.995,                0.85607,                0.63761,                0.32088,                0.83253,               0.000427,               0.000427,               0.000427
                     34,                 1.0895,                 0.5485,                0.95447,                0.99241,                0.99169,                0.99497,                0.87263,                0.57804,                0.30643,                0.82373,             0.00042081,             0.00042081,             0.00042081
                     35,                  1.134,                0.55046,                0.96625,                0.99607,                0.99926,                  0.995,                0.86218,                0.64244,                0.31196,                0.83195,             0.00041462,             0.00041462,             0.00041462
                     36,                  1.134,                0.54816,                 0.9617,                0.99593,                0.99671,                  0.995,                0.85284,                0.64983,                0.32142,                 0.8371,             0.00040844,             0.00040844,             0.00040844
                     37,                 1.1788,                 0.5672,                0.96145,                0.99166,                0.99702,                0.99497,                0.86237,                0.60361,                0.29839,                0.82914,             0.00040225,             0.00040225,             0.00040225
                     38,                 1.1033,                0.53001,                0.94004,                0.99464,                0.99474,                0.99493,                0.87045,                 0.6064,                0.30208,                0.82247,             0.00039606,             0.00039606,             0.00039606
                     39,                 1.1044,                 0.5244,                0.94885,                0.99463,                0.99916,                  0.995,                 0.8579,                 0.6359,                0.30573,                0.82962,             0.00038988,             0.00038988,             0.00038988
                     40,                 1.0824,                0.51723,                0.94281,                0.98878,                 0.9968,                  0.995,                0.86622,                0.61445,                0.30444,                0.82255,             0.00038369,             0.00038369,             0.00038369
                     41,                 1.1066,                0.53253,                 0.9452,                0.99325,                0.99429,                  0.995,                0.85775,                0.62072,                0.31057,                0.82956,              0.0003775,              0.0003775,              0.0003775
