                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4935,                 3.6625,                 2.7649,                0.13606,                0.20407,                0.13715,                 0.0893,                 1.8184,                 5.9595,                 2.4064,              6.468e-05,              6.468e-05,              6.468e-05
                      2,                 1.7129,                 2.5572,                 2.0478,                0.43686,                0.41006,                 0.3748,                0.19646,                 1.3542,                 13.867,                 1.9554,              0.0001339,              0.0001339,              0.0001339
                      3,                 1.5089,                 2.3526,                 1.8511,                0.25936,                0.57849,                0.39691,                0.19538,                 1.4319,                 3.8259,                 1.8956,             0.00020173,             0.00020173,             0.00020173
                      4,                 1.4815,                 2.3504,                 1.8271,                 0.2652,                0.48324,                0.38292,                0.14605,                 1.5744,                    inf,                 2.5043,             0.00026815,             0.00026815,             0.00026815
                      5,                 1.4509,                 2.3449,                 1.7824,                0.19725,                0.49295,                0.31594,                0.15472,                 1.2747,                 12.088,                 2.0488,             0.00033318,             0.00033318,             0.00033318
                      6,                 1.3213,                 2.1993,                 1.6886,                0.37672,                0.54993,                0.46076,                0.20786,                 1.1266,                 7.6776,                 1.7891,             0.00039681,             0.00039681,             0.00039681
                      7,                 1.3289,                 2.2071,                 1.6845,                0.23756,                0.30588,                0.22218,                0.09584,                 1.3301,                 12.031,                 1.8078,             0.00045905,             0.00045905,             0.00045905
                      8,                 1.2791,                 2.0804,                 1.6348,                0.32964,                0.39962,                0.27052,                0.12955,                  1.616,                 4.5195,                 2.1448,             0.00051989,             0.00051989,             0.00051989
                      9,                 1.2905,                 2.0795,                 1.6461,                 0.4226,                0.40096,                0.35225,                0.19711,                 1.4295,                 4.8926,                  2.025,             0.00054143,             0.00054143,             0.00054143
                     10,                 1.2566,                   2.02,                 1.6205,                0.56476,                0.40276,                0.42644,                0.20574,                 1.4917,                 2.8497,                  1.887,             0.00053561,             0.00053561,             0.00053561
                     11,                 1.2646,                 2.0197,                 1.6297,                0.41268,                0.48213,                0.41629,                0.22681,                0.98751,                 3.4311,                 1.5199,             0.00052979,             0.00052979,             0.00052979
                     12,                    1.2,                  1.937,                 1.5815,                0.29134,                0.50819,                0.37871,                0.19835,                 1.2031,                 3.2382,                 1.8294,             0.00052397,             0.00052397,             0.00052397
                     13,                 1.2068,                 1.9652,                 1.5787,                0.29151,                0.51112,                0.37292,                0.21939,                 1.3329,                 1.9793,                 1.8836,             0.00051815,             0.00051815,             0.00051815
                     14,                 1.1716,                 1.9183,                 1.5685,                0.40555,                0.74539,                0.60329,                0.34507,                 1.0175,                 1.7032,                 1.5132,             0.00051232,             0.00051232,             0.00051232
                     15,                 1.1823,                 1.8577,                 1.5652,                0.44251,                0.57727,                0.58557,                0.35165,                0.92959,                 1.5358,                 1.4556,              0.0005065,              0.0005065,              0.0005065
                     16,                 1.1315,                  1.833,                  1.535,                0.41348,                0.63802,                0.58544,                0.35634,                0.91332,                 1.7472,                 1.4564,             0.00050068,             0.00050068,             0.00050068
                     17,                 1.1175,                 1.8198,                 1.5233,                0.43621,                0.62304,                0.59375,                0.34334,                 1.1056,                 1.6276,                 1.6395,             0.00049486,             0.00049486,             0.00049486
                     18,                 1.1409,                 1.8033,                 1.5251,                0.46775,                0.51402,                0.53458,                0.33529,                0.97534,                 1.7488,                 1.4393,             0.00048904,             0.00048904,             0.00048904
                     19,                 1.0994,                 1.7661,                 1.5074,                0.57527,                 0.5577,                0.59854,                0.38318,                0.91658,                 1.6997,                  1.418,             0.00048322,             0.00048322,             0.00048322
                     20,                 1.0996,                 1.7595,                 1.5018,                 0.5557,                0.59277,                0.61148,                0.38601,                0.95843,                 1.5639,                 1.4182,              0.0004774,              0.0004774,              0.0004774
                     21,                 1.0522,                 1.6814,                  1.465,                 0.5551,                0.66268,                0.66503,                0.44091,                0.90115,                 1.4549,                 1.4311,             0.00047158,             0.00047158,             0.00047158
