                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5729,                 3.5392,                  1.119,                0.32113,                0.57307,                0.42474,                0.35456,                0.71226,                 3.4815,                0.83918,              6.875e-05,              6.875e-05,              6.875e-05
                      2,                 1.5431,                 1.4742,                 1.0855,                0.69902,                0.70309,                0.77831,                0.66281,                0.68459,                 1.4796,                0.85199,             0.00014233,             0.00014233,             0.00014233
                      3,                 1.3971,                 1.0772,                 1.0617,                0.88034,                 0.8863,                0.95237,                0.81813,                0.66018,                0.93571,                0.83215,             0.00021442,             0.00021442,             0.00021442
                      4,                 1.3941,                0.97227,                 1.0598,                0.76704,                0.90601,                0.84104,                0.72114,                0.66652,                 1.2173,                0.83607,             0.00028503,             0.00028503,             0.00028503
                      5,                 1.3505,                0.89566,                 1.0369,                0.58713,                0.91495,                0.61857,                0.52147,                0.69419,                 2.2142,                0.83716,             0.00035415,             0.00035415,             0.00035415
                      6,                 1.3791,                0.90697,                 1.0389,                0.93539,                0.99111,                0.99417,                0.86043,                0.64882,                0.54727,                0.82805,             0.00042178,             0.00042178,             0.00042178
                      7,                 1.4005,                0.88814,                 1.0475,                0.98227,                0.99804,                  0.995,                0.84848,                0.72063,                0.50731,                0.83692,             0.00048794,             0.00048794,             0.00048794
                      8,                 1.3873,                0.81979,                 1.0221,                 0.9776,                0.98819,                0.99387,                0.85276,                 0.6568,                0.48878,                0.82623,              0.0005526,              0.0005526,              0.0005526
                      9,                 1.3042,                0.76076,                0.99871,                0.98943,                0.99913,                  0.995,                0.86454,                0.62094,                0.41525,                0.82126,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.2807,                0.73965,                 1.0064,                 0.9503,                0.98514,                0.99421,                 0.8483,                0.70387,                0.53503,                0.84472,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.2964,                0.74165,                 1.0118,                0.97221,                0.92826,                0.97976,                0.81708,                0.77481,                0.55991,                0.86168,             0.00056313,             0.00056313,             0.00056313
                     12,                 1.3199,                 0.7217,                 1.0158,                0.97239,                0.91046,                0.97144,                0.82053,                0.71321,                0.48115,                0.84079,             0.00055694,             0.00055694,             0.00055694
                     13,                  1.285,                0.72432,                 1.0078,                0.97458,                0.98248,                0.99491,                 0.8588,                0.66094,                0.43541,                0.83379,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.2862,                0.68675,                 1.0109,                0.95108,                0.97394,                  0.995,                0.85838,                0.63527,                0.40806,                0.82146,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.2737,                0.67401,                 1.0073,                0.96014,                0.96061,                0.99038,                0.85976,                0.62641,                0.45208,                0.82307,             0.00053838,             0.00053838,             0.00053838
                     16,                 1.2462,                0.68196,                0.98984,                0.97997,                0.99153,                0.99495,                 0.8583,                0.61779,                0.37714,                0.82336,             0.00053219,             0.00053219,             0.00053219
                     17,                 1.2991,                0.68786,                 1.0197,                 0.9555,                0.98269,                0.99498,                0.86541,                0.62868,                0.41411,                  0.826,               0.000526,               0.000526,               0.000526
                     18,                 1.2631,                0.67355,                0.99283,                0.95223,                0.95035,                0.98672,                0.86285,                0.60274,                0.43987,                0.82056,             0.00051981,             0.00051981,             0.00051981
                     19,                 1.2501,                0.67013,                0.98923,                 0.8951,                0.94539,                0.96949,                0.83287,                0.65138,                0.48028,                 0.8242,             0.00051363,             0.00051363,             0.00051363
                     20,                 1.2395,                0.67705,                0.98449,                0.93456,                0.94937,                0.98948,                0.87069,                 0.5907,                 0.4371,                0.81625,             0.00050744,             0.00050744,             0.00050744
