                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.811,                 2.9586,                 1.2374,                0.31978,                 0.7176,                0.47663,                0.37887,                0.79161,                  5.093,                0.88459,               0.000125,               0.000125,               0.000125
                      2,                 1.6222,                 1.5026,                 1.1629,                0.43782,                0.72866,                0.57098,                0.47146,                0.72559,                    inf,                0.85413,             0.00025371,             0.00025371,             0.00025371
                      3,                 1.5971,                 1.2705,                 1.1573,                0.50399,                0.68903,                0.49857,                0.40213,                 0.7567,                    inf,                0.85425,             0.00037983,             0.00037983,             0.00037983
                      4,                 1.5477,                 1.1902,                 1.1429,                0.76531,                0.85759,                0.82963,                0.67474,                0.73991,                 1.6351,                 0.8537,             0.00050334,             0.00050334,             0.00050334
                      5,                 1.4849,                 1.1167,                 1.1068,                0.83059,                0.77807,                0.90087,                0.73073,                0.78112,                0.89852,                0.85895,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.4711,                 1.0016,                 1.0887,                0.77857,                0.84948,                0.85378,                 0.6993,                0.73721,                0.99638,                0.85975,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.4418,                0.95647,                 1.1016,                0.93213,                0.95736,                 0.9871,                0.81381,                0.73362,                0.62657,                0.85533,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.4357,                0.91633,                 1.0907,                0.92949,                0.91039,                0.97174,                0.62704,                 1.2877,                0.78266,                0.97788,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.4051,                0.90453,                 1.0981,                0.95547,                0.95084,                0.98723,                0.81182,                0.74903,                0.50811,                0.85284,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.3245,                0.82894,                 1.0591,                0.94227,                0.98045,                0.98925,                0.83458,                0.67401,                 0.4637,                0.84158,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.4138,                0.83688,                 1.1017,                0.97632,                0.97611,                0.99297,                0.84159,                0.65883,                0.46142,                0.84172,             0.00056313,             0.00056313,             0.00056313
                     12,                 1.3894,                0.81893,                 1.0818,                0.95633,                0.95916,                0.99142,                0.82922,                0.69746,                0.51845,                0.84907,             0.00055694,             0.00055694,             0.00055694
                     13,                 1.3223,                0.76491,                  1.043,                0.91824,                0.94822,                0.98068,                0.81243,                0.70686,                 0.5398,                0.84404,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.3293,                0.75263,                 1.0482,                0.97353,                0.98058,                0.99408,                0.85182,                0.63192,                0.38252,                0.83138,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.3135,                0.74252,                 1.0466,                0.96741,                0.96421,                 0.9921,                0.83949,                0.66706,                0.44625,                0.84401,             0.00053838,             0.00053838,             0.00053838
                     16,                 1.3171,                0.75943,                 1.0591,                0.98272,                0.99008,                0.99218,                0.83857,                 0.6697,                0.39619,                0.84255,             0.00053219,             0.00053219,             0.00053219
                     17,                  1.306,                0.74613,                 1.0306,                0.98591,                0.99518,                0.99486,                0.84671,                0.65015,                0.36905,                0.83903,               0.000526,               0.000526,               0.000526
                     18,                 1.2992,                0.73474,                  1.034,                0.99213,                 0.9945,                0.99453,                0.85715,                0.61259,                0.34033,                0.82902,             0.00051981,             0.00051981,             0.00051981
                     19,                 1.2818,                 0.7004,                 1.0535,                0.98697,                0.99593,                  0.995,                0.83276,                0.69498,                0.36781,                0.84709,             0.00051363,             0.00051363,             0.00051363
                     20,                 1.2475,                0.68847,                 1.0218,                0.97508,                 0.9897,                0.99419,                0.84465,                0.65354,                0.38663,                0.83373,             0.00050744,             0.00050744,             0.00050744
                     21,                 1.2193,                0.69401,                 1.0121,                0.98663,                0.99383,                0.99351,                0.85642,                0.63299,                0.33656,                0.83267,             0.00050125,             0.00050125,             0.00050125
                     22,                 1.3315,                0.70888,                 1.0496,                0.99297,                0.99591,                0.99497,                0.86367,                0.60092,                0.32978,                 0.8274,             0.00049506,             0.00049506,             0.00049506
                     23,                 1.2524,                0.66296,                 1.0132,                0.99528,                0.99256,                  0.995,                0.86352,                0.60664,                0.33054,                0.82781,             0.00048888,             0.00048888,             0.00048888
                     24,                  1.249,                 0.6729,                 1.0143,                0.97975,                0.98852,                0.99465,                0.85083,                0.62865,                 0.3601,                0.83265,             0.00048269,             0.00048269,             0.00048269
                     25,                 1.2483,                0.65141,                 1.0249,                0.98847,                 0.9926,                0.99486,                 0.8614,                0.61941,                0.32738,                0.82949,              0.0004765,              0.0004765,              0.0004765
                     26,                 1.2589,                0.65825,                 1.0293,                0.97628,                0.98289,                 0.9939,                0.85399,                0.63048,                0.35504,                0.83169,             0.00047031,             0.00047031,             0.00047031
                     27,                  1.227,                0.63566,                 1.0169,                 0.9736,                0.99418,                0.99471,                0.86576,                0.59198,                0.33798,                0.82467,             0.00046413,             0.00046413,             0.00046413
